Date,Amount,Category,Vendor,Card,Item,Recurring?,,Total,"3,709.78"
8/1/2024,23.67,Gas,Shell,Discover,,FALSE,,,
8/1/2024,4.00,Grocery,City Market,Quicksilver,,FALSE,,,
8/3/2024,15.00,Dining,HSV Airport,Quicksilver,Sandwich,FALSE,,,
8/3/2024,9.84,Grocery,Publix,Quicksilver,,FALSE,,,
8/5/2024,60.00,Museum,US Space and Rockets Center,Quicksilver,2 Tickets,FALSE,,,
8/5/2024,31.06,Dining,Boarhog's,Quicksilver,Lunch,FALSE,,,
8/6/2024,48.00,Travel,DIA,Discover,Airport Parking,FALSE,,,
8/7/2024,25.95,Books,Amazon,Prime Visa,Kellen Book,FALSE,,,
8/7/2024,8.00,Travel,United,Quicksilver,Wifi,FALSE,,,
8/8/2024,15.19,Furniture,Amazon,Prime Visa,Hangers,FALSE,,,
8/8/2024,38.27,Gas,ExxonMobil,Discover,,FALSE,,,
8/8/2024,41.55,Gas,Shell,Discover,,FALSE,,,
8/8/2024,41.62,Gas,Maverik,Discover,,FALSE,,,
8/8/2024,44.68,Gas,Chevron,Discover,,FALSE,,,
8/8/2024,24.92,Books,Amazon,Prime Visa,,FALSE,,,
8/9/2024,39.95,Gas,Shell,Discover,,FALSE,,,
8/10/2024,13.12,Subscriptions,Spotify,Quicksilver,Premium,TRUE,,,
8/10/2024,13.87,Dining,La Taqueria,Quicksilver,Burrito,FALSE,,,
8/10/2024,46.25,Furniture,Amazon,Prime Visa,Dresser,FALSE,,,
8/10/2024,34.69,Furniture,Amazon,Prime Visa,Hangers and Flossers,FALSE,,,
8/10/2024,17.12,Dining,Cream Pony,Quicksilver,Ice Cream,FALSE,,,
8/10/2024,161.79,Grocery,Costco,Prime Visa,,FALSE,,,
8/12/2024,141.00,Insurance,Geico,Quicksilver,Renter's Insurance,TRUE,,,
8/12/2024,6.46,Dining,Three Lions Pub,Quicksilver,Beer,FALSE,,,
8/12/2024,24.21,Shopping,Trek Redmond,Quicksilver,Chain Lube,FALSE,,,
8/12/2024,64.27,Shopping,Rudy's Redmond,Quicksilver,Haircut,FALSE,,,
8/12/2024,42.62,Shopping,The Feed,Quicksilver,Scratch and Bars,FALSE,,,
8/13/2024,16.36,Subscriptions,Audible,Quicksilver,Audible,TRUE,,,
8/13/2024,16.07,Shopping,Amazon,Prime Visa,Pens,FALSE,,,
8/14/2024,54.35,Shopping,Amazon,Prime Visa,Headphones,FALSE,,,
8/16/2024,4.02,Subscriptions,New York Times,Quicksilver,Subscription,TRUE,,,
8/17/2024,183.87,Fitness,Amazon,Prime Visa,Dumbbell add ons,FALSE,,,
8/17/2024,391.67,Fitness,Amazon,Prime Visa,Dumbbells,FALSE,,,
8/19/2024,45.49,Gas,Costco,Checking,,FALSE,,,
8/19/2024,96.60,Grocery,Costco,Checking,,FALSE,,,
8/19/2024,44.00,Grocery,QFC,Quicksilver,,FALSE,,,
8/20/2024,49.00,Clothing,SpaceX,Quicksilver,Shirts,FALSE,,,
8/21/2024,11.99,Subscriptions,Amazon,Prime Visa,Kindle Unlimited,TRUE,,,
8/21/2024,19.99,Subscriptions,Apex,Discover,Server,TRUE,,,
8/21/2024,67.14,Clothing,REI,Quicksilver,Rain Pants and Socks,FALSE,,,
8/22/2024,8.00,Shopping,Venmo,Venmo,Netflix Upgrade,FALSE,,,
8/22/2024,21.02,Shopping,Amazon,Prime Visa,Whoop Battery,FALSE,,,
8/25/2024,36.98,Shopping,Amazon,Prime Visa,Cloths and Deodorant,FALSE,,,
8/26/2024,20.00,Subscriptions,OpenAI,Quicksilver,ChatGPT,TRUE,,,
8/26/2024,0.99,Subscriptions,Apple,Checking,ICloud,TRUE,,,
8/26/2024,1500.00,Rent,Rent,Checking,,TRUE,,,
8/26/2024,46.77,Furniture,Amazon,Prime Visa,Comforter,FALSE,,,
8/26/2024,24.79,Dining,Jewel of India,Quicksilver,Food for Dagny,FALSE,,,
8/28/2024,13.58,Furniture,Amazon,Prime Visa,Trashcan,FALSE,,,
